brand,id,value,year,model,version
LAMBORGHINI,5376,1306156,2013,Gallardo, Coupe Superleggera LP570-4
LAMBORGHINI,5376,967950,2011,Gallardo, Coupe Superleggera LP570-4
LAMBORGHINI,5376,937155,2010,Gallardo, Coupe Superleggera LP570-4
LAMBORGHINI,5377,700103,2010,Gallardo, Coupe Valentino Balboni LP550-2
LAMBORGHINI,5378,1160565,2013,Gallardo, Spyder LP560-4
LAMBORGHINI,5378,912733,2012,Gallardo, Spyder LP560-4
LAMBORGHINI,5378,764421,2010,Gallardo, Spyder LP560-4
LAMBORGHINI,5378,726720,2009,Gallardo, Spyder LP560-4
LAMBORGHINI,5744,1378745,2013,Gallardo, Spyder Performante LP570-4
LAMBORGHINI,5744,1237524,2012,Gallardo, Spyder Performante LP570-4
LAMBORGHINI,5744,1186369,2011,Gallardo, Spyder Performante LP570-4
LAMBORGHINI,7138,2600000,32000,Huracan, Coupe LP 610-4
LAMBORGHINI,7138,2323652,2017,Huracan, Coupe LP 610-4
LAMBORGHINI,7138,2188448,2016,Huracan, Coupe LP 610-4
LAMBORGHINI,7138,1860036,2015,Huracan, Coupe LP 610-4
LAMBORGHINI,8084,1990405,32000,Huracan, Coupe RWD LP 580-2
LAMBORGHINI,8084,1791132,2018,Huracan, Coupe RWD LP 580-2
LAMBORGHINI,7884,3300000,32000,Huracan, Spyder LP 610-4
LAMBORGHINI,7884,2859335,2017,Huracan, Spyder LP 610-4
Land Rover,4532,139208,2011,Defender, 110 2.4 122cv T.Diesel
Land Rover,4532,127024,2010,Defender, 110 2.4 122cv T.Diesel
Land Rover,4532,116552,2009,Defender, 110 2.4 122cv T.Diesel
Land Rover,4532,108995,2008,Defender, 110 2.4 122cv T.Diesel
Land Rover,4532,99673,2007,Defender, 110 2.4 122cv T.Diesel
Land Rover,5072,89887,2010,Defender, 110 LE FIRE & ICE 2.4 T. Diesel
Land Rover,5555,114216,2011,Defender, 110 RAW 2.4 122cv T. Diesel
Land Rover,4811,110585,2009,Defender, 110 SVX Lim.Edit. 2.4 T.Diesel
Land Rover,1452,83658,2011,Defender, 130 TDI CD Diesel
Land Rover,1452,80791,2010,Defender, 130 TDI CD Diesel
Land Rover,1452,72350,2009,Defender, 130 TDI CD Diesel
Land Rover,1452,60186,2008,Defender, 130 TDI CD Diesel
Land Rover,4533,119822,2011,Defender, 90 2.4 122cv T.Diesel
Land Rover,4533,114630,2010,Defender, 90 2.4 122cv T.Diesel
Land Rover,4533,110741,2009,Defender, 90 2.4 122cv T.Diesel
Land Rover,4533,104698,2008,Defender, 90 2.4 122cv T.Diesel
Land Rover,4533,97865,2007,Defender, 90 2.4 122cv T.Diesel
Land Rover,5073,69399,2010,Defender, 90 LE FIRE & ICE 2.4 T. Diesel
Land Rover,5556,109720,2011,Defender, 90 RAW 2.4 122cv T.Diesel
Land Rover,4812,104355,2009,Defender, 90 SVX Lim.Edit. 2.4 T.Diesel
Land Rover,8015,463333,32000,Discovery, First Ed. 3.0 TD6 4x4 Die. Aut
Land Rover,8015,418645,2017,Discovery, First Ed. 3.0 TD6 4x4 Die. Aut
Land Rover,7973,387083,32000,Discovery, HSE 3.0 V6 4x4 TD6 Diesel Aut.
Land Rover,7973,348444,2017,Discovery, HSE 3.0 V6 4x4 TD6 Diesel Aut.
Land Rover,8016,423700,32000,Discovery, HSE Lux. 3.0 TD6 4x4 Die. Aut.
Land Rover,8016,382665,2017,Discovery, HSE Lux. 3.0 TD6 4x4 Die. Aut.
Land Rover,7286,209082,2015,Discovery, RAW 3.0 4x4 TDV6 Diesel Aut.
Land Rover,8017,361966,32000,Discovery, SE 3.0 V6 4x4 TD6  Diesel Aut.
Land Rover,8017,326881,2017,Discovery, SE 3.0 V6 4x4 TD6  Diesel Aut.
Land Rover,7550,228795,2016,Discovery, Sport BLACK 2.2 4x4 Dies. Aut.
Land Rover,7192,244250,32000,Discovery, Sport HSE 2.0 4x4 Aut.
Land Rover,7192,218894,2017,Discovery, Sport HSE 2.0 4x4 Aut.
Land Rover,7192,196434,2016,Discovery, Sport HSE 2.0 4x4 Aut.
Land Rover,7192,177489,2015,Discovery, Sport HSE 2.0 4x4 Aut.
Land Rover,7796,269107,32000,Discovery, Sport HSE 2.0 4x4 Diesel Aut
Land Rover,7796,244100,2017,Discovery, Sport HSE 2.0 4x4 Diesel Aut
Land Rover,7796,221136,2016,Discovery, Sport HSE 2.0 4x4 Diesel Aut
Land Rover,7392,252429,32000,Discovery, Sport HSE 2.2 4x4 Diesel Aut.
Land Rover,7392,221909,2016,Discovery, Sport HSE 2.2 4x4 Diesel Aut.
Land Rover,7925,296266,32000,Discovery, Sport HSE L. 2.0 4x4 Die. Aut.
Land Rover,7925,267930,2017,Discovery, Sport HSE L. 2.0 4x4 Die. Aut.
Land Rover,7457,272518,32000,Discovery, Sport HSE L. 2.2 4x4 Die. Aut.
Land Rover,7457,226560,2016,Discovery, Sport HSE L. 2.2 4x4 Die. Aut.
Land Rover,7457,215136,2015,Discovery, Sport HSE L. 2.2 4x4 Die. Aut.
Land Rover,7193,272816,32000,Discovery, Sport HSE Luxury 2.0 4x4 Aut.
Land Rover,7193,249430,2017,Discovery, Sport HSE Luxury 2.0 4x4 Aut.
Land Rover,7193,220468,2016,Discovery, Sport HSE Luxury 2.0 4x4 Aut.
Land Rover,7193,197974,2015,Discovery, Sport HSE Luxury 2.0 4x4 Aut.
Land Rover,7194,224716,32000,Discovery, Sport SE 2.0 4x4 Aut.
Land Rover,7194,201600,2017,Discovery, Sport SE 2.0 4x4 Aut.
Land Rover,7194,181486,2016,Discovery, Sport SE 2.0 4x4 Aut.
Land Rover,7194,159451,2015,Discovery, Sport SE 2.0 4x4 Aut.
Land Rover,7797,239015,32000,Discovery, Sport SE 2.0 4x4 Diesel Aut.
Land Rover,7797,214032,2017,Discovery, Sport SE 2.0 4x4 Diesel Aut.
Land Rover,7797,205698,2016,Discovery, Sport SE 2.0 4x4 Diesel Aut.
Land Rover,7393,228927,32000,Discovery, Sport SE 2.2 4x4 Diesel Aut.
Land Rover,7393,196777,2016,Discovery, Sport SE 2.2 4x4 Diesel Aut.
Land Rover,1463,91803,2009,Discovery3, HSE 2.7 4x4 TDI Diesel Aut.
